"StudyID" "SiteID" "SampleID" "NumSampled" "SamplingYear" "SamplingMonth" "NumberSizeSpectrumMethods" "SizeSpectrumMethod" "YaxisParameterType" "YaxisParameterTypeSpecification" "XaxisParameterType" "XaxisParameterTypeSpecification" "YaxisParameterUnit" "XaxisParameterUnit" "XaxisParameterUnitSpecification" "NumberSizeClasses" "SizeRangeMinimum" "SizeRangeMaximum" "Slope" "SlopeConfIntLow" "SlopeConfIntUp" "SlopeSD" "SlopeSE" "Intercept" "InterceptConfIntLow" "InterceptConfIntUp" "InterceptSD" "InterceptSE" "Linearity"
"StudyID_02" "SiteID_06" "SampleID_13" 2 "1987" "Aug" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.853 NA NA NA 0.027 6.068 NA NA NA 0.384 0.97
"StudyID_02" "SiteID_06" "SampleID_14" 2 "1987" "Jul" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.877 NA NA NA 0.035 6.247 NA NA NA 0.516 0.95
"StudyID_02" "SiteID_07" "SampleID_15" 2 "1987" "Aug" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.872 NA NA NA 0.034 6.02 NA NA NA 0.52 0.95
"StudyID_02" "SiteID_07" "SampleID_16" 2 "1987" "Jul" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.915 NA NA NA 0.037 6.216 NA NA NA 0.578 0.94
"StudyID_02" "SiteID_08" "SampleID_17" 1 "1987" "Aug" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.938 NA NA NA 0.045 5.87 NA NA NA 0.588 0.93
"StudyID_02" "SiteID_09" "SampleID_18" 1 "1987" "Aug" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.944 NA NA NA 0.04 5.827 NA NA NA 0.599 0.94
"StudyID_02" "SiteID_10" "SampleID_19" 1 "1987" "Aug" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.941 NA NA NA 0.052 5.608 NA NA NA 0.734 0.91
"StudyID_02" "SiteID_11" "SampleID_20" 3 "1987" "Aug" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.837 NA NA NA 0.055 5.542 NA NA NA 0.65 0.89
"StudyID_02" "SiteID_11" "SampleID_21" 3 "1987" "Jul" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -1.005 NA NA NA 0.057 5.483 NA NA NA 0.8 0.9
"StudyID_02" "SiteID_11" "SampleID_22" 3 "1987" "Jul" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.963 NA NA NA 0.044 5.373 NA NA NA 0.627 0.94
"StudyID_02" "SiteID_12" "SampleID_23" 2 "1987" "Jul" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.942 NA NA NA 0.047 5.7 NA NA NA 0.655 0.92
"StudyID_02" "SiteID_12" "SampleID_24" 2 "1987" "Jul" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.975 NA NA NA 0.043 5.162 NA NA NA 0.683 0.93
"StudyID_02" "SiteID_13" "SampleID_25" 1 "1987" "Jul" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.866 NA NA NA 0.033 5.416 NA NA NA 0.46 0.95
"StudyID_02" "SiteID_14" "SampleID_26" 1 "1987" "Jun" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -1.002 NA NA NA 0.069 7.066 NA NA NA 0.91 0.88
"StudyID_02" "SiteID_15" "SampleID_27" 1 "1987" "Jun" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.797 NA NA NA 0.065 6.304 NA NA NA 0.734 0.84
"StudyID_03" "SiteID_16" "SampleID_28" 2 "1985" "May-Jun-Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass" "biomass" "body mass" "body mass" "mg" "mg" "mg DM" "13" "0.01" "85.81" -0.6 NA NA NA 0.11 6.2 NA NA NA 0.41 0.74
"StudyID_03" "SiteID_16" "SampleID_29" 2 "1986" "May-Jun-Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass" "biomass" "body mass" "body mass" "mg" "mg" "mg DM" "13" "0.01" "85.81" -0.72 NA NA NA 0.1 6.34 NA NA NA 0.38 0.82
"StudyID_03" "SiteID_17" "SampleID_30" 2 "1985" "May-Jun-Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass" "biomass" "body mass" "body mass" "mg" "mg" "mg DM" "13" "0.01" "85.81" -0.56 NA NA NA 0.12 5.64 NA NA NA 0.42 0.67
"StudyID_03" "SiteID_17" "SampleID_31" 2 "1985" "May-Jun-Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass" "biomass" "body mass" "body mass" "mg" "mg" "mg DM" "13" "0.01" "85.81" -0.64 NA NA NA 0.13 6.5 NA NA NA 0.49 0.69
"StudyID_04" "SiteID_18" "SampleID_32" 2 "1990" "May" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "mg/m2" "µg" "µg" "11" "2 mm" "4 mm" -0.97 -1.174 -0.763 NA NA 5.28 4.692 5.867 NA NA 0.93
"StudyID_04" "SiteID_18" "SampleID_33" 2 "1990" "Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "mg/m2" "µg" "µg" "10" "2 mm" "2 mm" -0.81 -0.967 -0.66 NA NA 5.22 4.806 5.616 NA NA 0.95
"StudyID_04" "SiteID_19" "SampleID_34" 2 "1990" "May" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "mg/m2" "µg" "µg" "11" "2 mm" "4 mm" -0.97 -1.133 -0.798 NA NA 5.94 5.474 6.431 NA NA 0.95
"StudyID_04" "SiteID_19" "SampleID_35" 2 "1990" "Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "mg/m2" "µg" "µg" "12" "2 mm" "8 mg" -0.89 -0.968 -0.812 NA NA 5.52 5.278 5.771 NA NA 0.98
"StudyID_04" "SiteID_20" "SampleID_36" 2 "1990" "May" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "mg/m2" "µg" "µg" "11" "2 mm" "4 mm" -0.93 -0.989 -0.843 NA NA 5.77 5.601 6.016 NA NA 0.95
"StudyID_04" "SiteID_20" "SampleID_37" 2 "1990" "Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "mg/m2" "µg" "µg" "11" "2 mm" "4 mm" -0.91 -1.009 -0.8 NA NA 5.34 5.009 5.607 NA NA 0.98
"StudyID_05" "SiteID_21" "SampleID_38" 9 "1982" "Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "physical size" "body volume" "mm3/m2" "mm3" "mm3/count" "34" NA NA -2.27 NA NA NA 0.04 NA NA NA NA NA NA
"StudyID_05" "SiteID_21" "SampleID_39" 9 "1982" "Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "physical size" "body volume" "mm3/m2" "mm3" "mm3/count" "34" NA NA -2.37 NA NA NA 0.07 NA NA NA NA NA NA
"StudyID_05" "SiteID_21" "SampleID_40" 9 "1982" "Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "physical size" "body volume" "mm3/m2" "mm3" "mm3/count" "34" NA NA -2.3 NA NA NA 0.09 NA NA NA NA NA NA
"StudyID_05" "SiteID_21" "SampleID_41" 9 "1982" "Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "physical size" "body volume" "mm3/m2" "mm3" "mm3/count" "34" NA NA -2.33 NA NA NA 0.11 NA NA NA NA NA NA
"StudyID_05" "SiteID_21" "SampleID_42" 9 "1982" "Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "physical size" "body volume" "mm3/m2" "mm3" "mm3/count" "34" NA NA -2.26 NA NA NA 0.09 NA NA NA NA NA NA
"StudyID_05" "SiteID_21" "SampleID_43" 9 "1982" "Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "physical size" "body volume" "mm3/m2" "mm3" "mm3/count" "34" NA NA -2.38 NA NA NA 0.08 NA NA NA NA NA NA
"StudyID_05" "SiteID_21" "SampleID_44" 9 "1982" "Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "physical size" "body volume" "mm3/m2" "mm3" "mm3/count" "34" NA NA -2.32 NA NA NA 0.05 NA NA NA NA NA NA
"StudyID_05" "SiteID_21" "SampleID_45" 9 "1982" "Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "physical size" "body volume" "mm3/m2" "mm3" "mm3/count" "34" NA NA -2.35 NA NA NA 0.05 NA NA NA NA NA NA
"StudyID_05" "SiteID_21" "SampleID_46" 9 "1982" "Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "physical size" "body volume" "mm3/m2" "mm3" "mm3/count" "34" NA NA -2.38 NA NA NA 0.09 NA NA NA NA NA NA
"StudyID_05" "SiteID_22" "SampleID_47" 4 "1982" "Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "physical size" "body volume" "mm3/m2" "mm3" "mm3/count" "34" NA NA -2.3 NA NA NA 0.04 NA NA NA NA NA NA
"StudyID_05" "SiteID_22" "SampleID_48" 4 "1982" "Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "physical size" "body volume" "mm3/m2" "mm3" "mm3/count" "34" NA NA -2.25 NA NA NA 0.04 NA NA NA NA NA NA
"StudyID_05" "SiteID_22" "SampleID_49" 4 "1982" "Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "physical size" "body volume" "mm3/m2" "mm3" "mm3/count" "34" NA NA -2.24 NA NA NA 0.03 NA NA NA NA NA NA
"StudyID_05" "SiteID_22" "SampleID_50" 4 "1982" "Jul-Aug" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "physical size" "body volume" "mm3/m2" "mm3" "mm3/count" "34" NA NA -2.27 NA NA NA 0.03 NA NA NA NA NA NA
"StudyID_06" "SiteID_23" "SampleID_51" 4 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.7 NA NA NA NA 0.2 NA NA NA NA NA
"StudyID_06" "SiteID_23" "SampleID_52" 4 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.2 NA NA NA NA 1.1 NA NA NA NA NA
"StudyID_06" "SiteID_23" "SampleID_53" 4 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.7 NA NA NA NA 0.3 NA NA NA NA NA
"StudyID_06" "SiteID_23" "SampleID_54" 4 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.6 NA NA NA NA 0.1 NA NA NA NA NA
"StudyID_06" "SiteID_24" "SampleID_55" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.7 NA NA NA NA 0.2 NA NA NA NA NA
"StudyID_06" "SiteID_24" "SampleID_56" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.2 NA NA NA NA 0.9 NA NA NA NA NA
"StudyID_06" "SiteID_24" "SampleID_57" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.1 NA NA NA NA 0.6 NA NA NA NA NA
"StudyID_06" "SiteID_25" "SampleID_58" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.3 NA NA NA NA 1.1 NA NA NA NA NA
"StudyID_06" "SiteID_25" "SampleID_59" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.3 NA NA NA NA 1.1 NA NA NA NA NA
"StudyID_06" "SiteID_25" "SampleID_60" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.5 NA NA NA NA 1.3 NA NA NA NA NA
"StudyID_06" "SiteID_26" "SampleID_61" 1 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.7 NA NA NA NA 1.2 NA NA NA NA NA
"StudyID_06" "SiteID_27" "SampleID_62" 2 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.1 NA NA NA NA 0.6 NA NA NA NA NA
"StudyID_06" "SiteID_27" "SampleID_63" 2 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.7 NA NA NA NA 0.3 NA NA NA NA NA
"StudyID_06" "SiteID_28" "SampleID_64" 2 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1 NA NA NA NA 0.7 NA NA NA NA NA
"StudyID_06" "SiteID_28" "SampleID_65" 2 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.8 NA NA NA NA 0.4 NA NA NA NA NA
"StudyID_06" "SiteID_29" "SampleID_66" 2 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.9 NA NA NA NA 0.5 NA NA NA NA NA
"StudyID_06" "SiteID_29" "SampleID_67" 2 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.1 NA NA NA NA 0.8 NA NA NA NA NA
"StudyID_06" "SiteID_30" "SampleID_68" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.5 NA NA NA NA 1.2 NA NA NA NA NA
"StudyID_06" "SiteID_30" "SampleID_69" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.2 NA NA NA NA 1 NA NA NA NA NA
"StudyID_06" "SiteID_30" "SampleID_70" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1 NA NA NA NA 0.6 NA NA NA NA NA
"StudyID_06" "SiteID_31" "SampleID_71" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.5 NA NA NA NA 1.1 NA NA NA NA NA
"StudyID_06" "SiteID_31" "SampleID_72" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.2 NA NA NA NA 1 NA NA NA NA NA
"StudyID_06" "SiteID_31" "SampleID_73" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.4 NA NA NA NA 1.2 NA NA NA NA NA
"StudyID_06" "SiteID_32" "SampleID_74" 1 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.7 NA NA NA NA 1.7 NA NA NA NA NA
"StudyID_06" "SiteID_33" "SampleID_75" 3 "1984-1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.2 NA NA NA NA 1.4 NA NA NA NA NA
"StudyID_06" "SiteID_33" "SampleID_76" 3 "1984-1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1 NA NA NA NA 0.6 NA NA NA NA NA
"StudyID_06" "SiteID_33" "SampleID_77" 3 "1984-1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.3 NA NA NA NA 1.3 NA NA NA NA NA
"StudyID_06" "SiteID_34" "SampleID_78" 8 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.7 NA NA NA NA 0.2 NA NA NA NA NA
"StudyID_06" "SiteID_34" "SampleID_79" 8 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.2 NA NA NA NA 0.8 NA NA NA NA NA
"StudyID_06" "SiteID_34" "SampleID_80" 8 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.9 NA NA NA NA 0.8 NA NA NA NA NA
"StudyID_06" "SiteID_34" "SampleID_81" 8 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.1 NA NA NA NA 1 NA NA NA NA NA
"StudyID_06" "SiteID_34" "SampleID_82" 8 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.6 NA NA NA NA -0.1 NA NA NA NA NA
"StudyID_06" "SiteID_34" "SampleID_83" 8 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1 NA NA NA NA 1 NA NA NA NA NA
"StudyID_06" "SiteID_34" "SampleID_84" 8 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.9 NA NA NA NA 0.6 NA NA NA NA NA
"StudyID_06" "SiteID_34" "SampleID_85" 8 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.7 NA NA NA NA 0.2 NA NA NA NA NA
"StudyID_06" "SiteID_35" "SampleID_86" 6 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1 NA NA NA NA 0.6 NA NA NA NA NA
"StudyID_06" "SiteID_35" "SampleID_87" 6 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.6 NA NA NA NA 0 NA NA NA NA NA
"StudyID_06" "SiteID_35" "SampleID_88" 6 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.1 NA NA NA NA 1 NA NA NA NA NA
"StudyID_06" "SiteID_35" "SampleID_89" 6 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.2 NA NA NA NA 1.1 NA NA NA NA NA
"StudyID_06" "SiteID_35" "SampleID_90" 6 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.8 NA NA NA NA 0.5 NA NA NA NA NA
"StudyID_06" "SiteID_35" "SampleID_91" 6 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1 NA NA NA NA 0.6 NA NA NA NA NA
"StudyID_06" "SiteID_36" "SampleID_92" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.8 NA NA NA NA 0.5 NA NA NA NA NA
"StudyID_06" "SiteID_36" "SampleID_93" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1 NA NA NA NA 0.6 NA NA NA NA NA
"StudyID_06" "SiteID_36" "SampleID_94" 3 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.9 NA NA NA NA 0.4 NA NA NA NA NA
"StudyID_06" "SiteID_37" "SampleID_95" 2 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -1.2 NA NA NA NA 1.1 NA NA NA NA NA
"StudyID_06" "SiteID_37" "SampleID_96" 2 "1985" "May-Oct" 1 "Normalized biomass spectrum (linear)" "biomass concentration" "biomass concentration" "body mass" "body mass" "g WM/m2" "mg" "mg WM" "10" "0.5" "512" -0.7 NA NA NA NA 0 NA NA NA NA NA
